ticker,date,open,high,low,close,volume,ingested_at,source,daily_return,ma_5,ma_20,rsi_14,volatility_20d,price_vs_ma20,processed_at,rel_return_vs_index
MARUTI.NS,2025-11-10,15380.0,15647.0,15380.0,15583.0,274191,2026-03-19T05:07:04.148768+00:00,yfinance,0.006719,15507.8,16100.75,40.88,0.010567,-0.032157,2026-03-19T05:07:25.415957,0.00372
MARUTI.NS,2025-11-11,15640.0,15680.0,15512.0,15645.0,181524,2026-03-19T05:07:04.148768+00:00,yfinance,0.003979,15506.6,16069.75,43.07,0.009702,-0.026432,2026-03-19T05:07:25.415957,-0.006758
MARUTI.NS,2025-11-12,15674.0,15731.0,15555.0,15696.0,244015,2026-03-19T05:07:04.148768+00:00,yfinance,0.00326,15571.0,16038.4,44.88,0.009693,-0.021349,2026-03-19T05:07:25.415957,-0.00915
MARUTI.NS,2025-11-13,15661.0,15800.0,15660.0,15749.0,250711,2026-03-19T05:07:04.148768+00:00,yfinance,0.003377,15630.4,16012.8,46.78,0.009752,-0.016474,2026-03-19T05:07:25.415957,0.007101
MARUTI.NS,2025-11-14,15725.0,15735.0,15572.0,15684.0,253698,2026-03-19T05:07:04.148768+00:00,yfinance,-0.004127,15671.4,15986.4,44.75,0.009764,-0.018916,2026-03-19T05:07:25.415957,0.001095
MARUTI.NS,2025-11-17,15689.0,15892.0,15655.0,15878.0,301069,2026-03-19T05:07:04.148768+00:00,yfinance,0.012369,15730.4,15965.4,51.51,0.010148,-0.005474,2026-03-19T05:07:25.415957,0.003821
MARUTI.NS,2025-11-18,15878.0,15999.0,15750.0,15930.0,392903,2026-03-19T05:07:04.148768+00:00,yfinance,0.003275,15787.4,15941.85,53.17,0.01005,-0.000743,2026-03-19T05:07:25.415957,0.007075
MARUTI.NS,2025-11-19,15950.0,15950.0,15715.0,15768.0,286434,2026-03-19T05:07:04.148768+00:00,yfinance,-0.010169,15801.8,15909.05,47.7,0.010212,-0.008866,2026-03-19T05:07:25.415957,-0.012588
MARUTI.NS,2025-11-20,15810.0,15823.0,15618.0,15801.0,249492,2026-03-19T05:07:04.148768+00:00,yfinance,0.002093,15812.2,15879.3,48.86,0.010253,-0.004931,2026-03-19T05:07:25.415957,-0.002265
MARUTI.NS,2025-11-21,15790.0,16150.0,15737.0,15977.0,586351,2026-03-19T05:07:04.148768+00:00,yfinance,0.011139,15870.8,15858.5,54.6,0.010651,0.007472,2026-03-19T05:07:25.415957,0.011725
